gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,playType,yardlineSide,yardlineNumber,offenseFormation,personnelO,defendersInTheBox,numberOfPassRushers,personnelD,typeDropback,preSnapVisitorScore,preSnapHomeScore,gameClock,absoluteYardlineNumber,penaltyCodes,penaltyJerseyNumbers,passResult,offensePlayResult,playResult,epa,isDefensivePI,throwFrame,passerId,ball_x_at_throw,ball_y_at_throw,catchFrame,catchNflId,catch_x,catch_y,interceptFrame,interceptNflId,int_x,int_y,targetId,breakFrame,anticipation_frames,anticipation_seconds,snapFrame,timeToThrow_sec
2018122304,3883,(6:57) (Shotgun) T.Heinicke pass incomplete deep right to C.Samuel (D.Trufant).,4,1,10,CAR,play_type_pass,ATL,30,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,24.0,10.0,06:57:00,80.0,,,I,0,0,-0.26109267113687,False,28.0,2539334.0,89.58,6.74,,,,,,,,,,,,,1,2.7
2018122304,2955,"(4:45) (Shotgun) M.Ryan pass deep left to M.Sanu for 44 yards, TOUCHDOWN.",3,1,10,ATL,play_type_pass,CAR,44,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,17.0,10.0,04:45:00,66.0,,,C,44,44,3.83161891905497,False,33.0,310.0,59.45,25.83,53.0,310.0,61.38,27.36,,,,,310.0,3.0,30.0,3.0,1,3.2
2018122304,3034,"(4:11) (No Huddle, Shotgun) T.Heinicke pass short left to C.McCaffrey pushed ob at CAR 45 for 12 yards (D.Jones).",3,2,2,CAR,play_type_pass,CAR,33,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,24.0,10.0,04:11:00,77.0,,,C,12,12,1.28097850406074,False,17.0,2532978.0,75.76,31.03,35.0,2532978.0,74.25,27.84,,,,,2532978.0,2.0,15.0,1.5,1,1.6
2018120209,3019,"(11:57) (No Huddle, Shotgun) C.Newton pass short right to C.Samuel to CAR 43 for 31 yards (J.Whitehead).",4,2,11,CAR,play_type_pass,CAR,12,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,17.0,24.0,11:57:00,98.0,,,C,31,31,2.91423206769033,False,27.0,2495455.0,107.73,23.73,49.0,2495455.0,105.68,24.11,,,,,2495455.0,23.0,4.0,0.4,1,2.6
2018120207,4184,(1:49) (Shotgun) C.Daniel pass short right to A.Robinson II pushed ob at CHI 44 for 19 yards (M.Thomas).,4,1,10,CHI,play_type_pass,CHI,25,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"0 DL, 4 LB, 7 DB",TRADITIONAL,17.0,27.0,01:49:00,85.0,,,C,19,19,0.636987766433599,False,19.0,71197.0,90.94,33.61,27.0,71197.0,90.7,33.64,,,,,71197.0,23.0,-4.0,-0.4,1,1.8
2018120911,1959,"(1:26) (No Huddle, Shotgun) M.Stafford pass short right to T.Riddick to DET 44 for 17 yards (P.Peterson).",2,1,10,DET,play_type_pass,DET,27,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,3.0,0.0,01:26:00,83.0,,,C,17,17,0.314614202138014,False,23.0,79860.0,92.21,23.64,32.0,79860.0,95.02,23.31,,,,,79860.0,3.0,20.0,2.0,1,2.2
2018122304,2251,(:21) (Shotgun) T.Heinicke pass incomplete deep right to T.Smith.,2,3,16,CAR,play_type_pass,CAR,45,SHOTGUN,"1 RB, 1 TE, 3 WR",3.0,4.0,"2 DL, 3 LB, 5 DB, 1 WR",SCRAMBLE,10.0,10.0,00:21:00,55.0,,,I,0,0,-2.04710104534428,False,54.0,2495454.0,99.81,11.2,,,,,,,,,,,,,1,5.300000000000001
2018122304,3562,"(11:17) (No Huddle, Shotgun) T.Heinicke pass incomplete short right to D.Funchess.",4,1,10,CAR,play_type_pass,ATL,28,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,24.0,10.0,11:17:00,82.0,,,I,0,0,-0.252041421505847,False,29.0,2495459.0,94.97,10.77,,,,,,,,,,,,,1,2.8000000000000003
2018123013,3345,"(11:34) (No Huddle, Shotgun) C.Keenum pass short right to R.Freeman to LAC 20 for 9 yards (M.Davis).",4,2,8,DEN,play_type_pass,LAC,29,EMPTY,"1 RB, 1 TE, 3 WR",5.0,5.0,"4 DL, 0 LB, 7 DB",TRADITIONAL,14.0,3.0,11:34:00,39.0,,,C,9,9,0.770421501463589,False,19.0,2532861.0,30.16,9.31,31.0,2532861.0,28.36,12.86,,,,,2532861.0,,,,1,1.8
2018100400,2119,"(:49) (No Huddle, Shotgun) A.Luck pass short right to E.Ebron ran ob at 50 for 7 yards (D.McCourty).",2,1,10,IND,play_type_pass,IND,43,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"3 DL, 2 LB, 6 DB",TRADITIONAL,3.0,21.0,00:49:00,67.0,,,C,7,7,0.0814872970761011,False,20.0,71251.0,55.95,23.9,30.0,71251.0,54.38,26.17,,,,,71251.0,,,,1,1.9000000000000001
2018090912,2439,"(3:46) (No Huddle, Shotgun) A.Rodgers pass incomplete deep middle to J.Graham.",3,3,9,GB,play_type_pass,CHI,23,SINGLEBACK,"1 RB, 2 TE, 2 WR",5.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,20.0,0.0,03:46:00,33.0,,,I,0,0,-1.03652788092765,False,32.0,497236.0,19.51,17.84,,,,,,,,,,,,,1,3.1
